Timestamp,Level meter,Flow meter,Setpoint,Fill value,Discharge value,SP,PV
"2024-06-04 12:58:51,324",,,,13685,32767,0,0
"2024-06-04 12:58:51,334",21583,24378,0,,,,
"2024-06-04 12:58:51,340",,,,13685,32767,0,0
"2024-06-04 12:58:51,350",21565,24358,0,,,,
"2024-06-04 12:58:51,356",,,,13685,32767,0,0
"2024-06-04 12:58:51,366",21513,24339,0,,,,
"2024-06-04 12:58:51,371",,,,13685,32767,0,0
"2024-06-04 12:58:51,381",21508,24315,0,,,,
"2024-06-04 12:58:51,387",,,,13685,32767,0,0
"2024-06-04 12:58:51,397",21464,24295,0,,,,
"2024-06-04 12:58:51,403",,,,13685,32767,0,0
"2024-06-04 12:58:51,413",21425,24276,0,,,,
"2024-06-04 12:58:51,419",,,,13685,32767,0,0
"2024-06-04 12:58:51,430",21331,24252,0,,,,
"2024-06-04 12:58:51,435",,,,13685,32767,0,0
"2024-06-04 12:58:51,445",21282,24232,0,,,,
"2024-06-04 12:58:51,451",,,,13685,32767,0,0
"2024-06-04 12:58:51,461",21175,24208,0,,,,
"2024-06-04 12:58:51,467",,,,13685,32767,0,0
"2024-06-04 12:58:51,477",21075,24189,0,,,,
"2024-06-04 12:58:51,483",,,,13685,32767,0,0
"2024-06-04 12:58:51,494",21076,24169,0,,,,
"2024-06-04 12:58:51,500",,,,13685,32767,0,0
"2024-06-04 12:58:51,510",21121,24150,0,,,,
"2024-06-04 12:58:51,516",,,,13685,32767,0,0
"2024-06-04 12:58:51,526",21123,24131,0,,,,
"2024-06-04 12:58:51,532",,,,13685,32767,0,0
"2024-06-04 12:58:51,542",21090,24111,0,,,,
"2024-06-04 12:58:51,548",,,,13685,32767,0,0
"2024-06-04 12:58:51,558",20913,24087,0,,,,
"2024-06-04 12:58:51,564",,,,13685,32767,0,0
"2024-06-04 12:58:51,574",20857,24068,0,,,,
"2024-06-04 12:58:51,579",,,,13685,32767,0,0
